Window Size,SampleRTT,EstimatedRTT,DevRTT,Time (t)
21,0.001254000002518,0.00189603457693,0.000921876053326,0.5137779712677
21,0.001080999965779,0.001794155221432,0.000869695853908,0.51478898525238
21,0.001113999984227,0.001709135831334,0.000801055866759,0.515797972679138
21,0.000968999986071,0.001616618828848,0.000762696610764,0.516650021076202
21,0.000914999982342,0.001528916531242,0.000725501566194,0.517481982707977
21,0.001027000020258,0.001466176938266,0.000653920404147,0.518415987491608
21,0.000984000042081,0.001405904768035,0.000595916528255,0.519307017326355
21,0.000949000008404,0.001348791760392,0.000546885305084,0.520160973072052
21,0.000968999986071,0.001301317708567,0.000493243394885,0.521037995815277
22,0.014569000340998,0.002959778066725,0.003272237954661,0.537014007568359
22,0.001092000049539,0.002726305741817,0.002862754976377,0.538024008274078
22,0.001820000004955,0.002613017568365,0.002345320535824,0.539790987968445
22,0.001248999964446,0.002442515455186,0.002057369332761,0.540893971920013
22,0.001088000019081,0.002273201011121,0.001839327276684,0.541903972625732
22,0.001049999962561,0.002120300894603,0.001647070632316,0.542886018753052
22,0.001134000020102,0.001997013110667,0.001451056217775,0.543976008892059
22,0.001817999989726,0.001974636455998,0.001127451309003,0.545731008052826
22,0.001966000068933,0.001973557053134,0.000847477756906,0.547571003437042
22,0.001810000045225,0.001953112427145,0.000671386427712,0.549199998378754
22,0.001338999951258,0.001876348280348,0.000637876917608,0.550383985042572
22,0.001123000052758,0.001782179810107,0.000643202627543,0.551419973373413
22,0.001271000015549,0.001718282350339,0.000594222510699,0.552610993385315
22,0.001038999995217,0.001633372041397,0.000594259938225,0.55356901884079
22,0.00103299994953,0.001558325486258,0.000577026337851,0.554530024528503
22,0.001096999971196,0.001500659855083,0.000533684680704,0.555558979511261
22,0.001002999953926,0.001438452396542,0.000509126577526,0.556481003761292
22,0.0009190000128,0.00137352081947,0.000495475134812,0.55732798576355
22,0.001073000021279,0.001335955690593,0.000437345297541,0.558337986469269
22,0.001081999973394,0.001304211211391,0.000383561768103,0.559347987174988
22,0.001058000023477,0.001273434842005,0.000341530045262,0.560337007045746
22,0.000930999987759,0.001230630441569,0.000331055169227,0.561182022094727
23,0.025214999914169,0.0042286766693,0.005494872108102,0.586265027523041
23,0.001953999977559,0.003944342024624,0.004618739709258,0.588075995445251
23,0.001968000084162,0.003697299398482,0.003896379610524,0.589879989624023
23,0.001885000034235,0.003470761934295,0.003318725153804,0.591691017150879
23,0.001919999951497,0.003276916686445,0.002828272990882,0.593491971492767
23,0.001755999983288,0.003086802083999,0.002453905297443,0.595125019550324
23,0.001885000034235,0.002936576725915,0.002103323116899,0.596876978874207
23,0.0018380000256,0.002799254609272,0.001817806041799,0.598591029644012
23,0.002631000010297,0.0027782227844,0.001400160253979,0.600865006446838
23,0.001953999977559,0.002675194991753,0.001230418914929,0.602541029453278
23,0.00247299997136,0.002649920759723,0.000967044383287,0.604891002178192
23,0.001898000016809,0.002555930521339,0.000889765913598,0.606653988361359
23,0.002024000044912,0.002489439211786,0.000783684256021,0.60854697227478
23,0.00179000000935,0.002402009442449,0.000740765535738,0.610207974910736
23,0.002166999969631,0.002372633200139,0.000606982444879,0.612255990505219
23,0.001567000057548,0.002271929057315,0.000631469069049,0.613653004169464
23,0.000976999988779,0.00211006286554,0.000756867520977,0.61453902721405
23,0.001190999988467,0.00199518003501,0.00076869566692,0.615710973739624
23,0.001142999972217,0.001888657570817,0.000762936135288,0.616635024547577
23,0.000975999981165,0.001774575328454,0.000771845923737,0.617543995380402
23,0.000957000011113,0.001672378391959,0.000757729052566,0.618431985378265
23,0.001011000014842,0.001589706167579,0.000712973298505,0.619355976581574
23,0.000916999997571,0.001505617867224,0.000681884470396,0.620205998420715
24,0.019088000059128,0.00370341562666,0.004357559606433,0.639126002788544
24,0.001898000016809,0.003477738704532,0.00366310426034,0.640865027904511
24,0.001949000055902,0.003286646446213,0.003081739880145,0.642677009105682
24,0.002475999994203,0.003185315523297,0.002488633617759,0.645018994808197
24,0.001769999973476,0.003008401021361,0.00217607547529,0.646654009819031
24,0.002110000001267,0.002896100981161,0.001828581909649,0.648633003234863
24,0.002063999883831,0.002792088314891,0.001553458510898,0.650592982769012
24,0.00216899998486,0.002714202273637,0.001301394426264,0.652480006217957
24,0.001848999992944,0.002606051973999,0.001165308873169,0.654192984104157
24,0.002017999999225,0.002532545477152,0.001002617995255,0.656114995479584
24,0.002371999900788,0.002512477338314,0.000787082826719,0.658358991146088
24,0.00119400001131,0.002347667701542,0.000878729042597,0.659390985965729
24,0.000893999997061,0.002165959216654,0.00097703654319,0.660216987133026
24,0.000941000005696,0.002012839308009,0.001000737305731,0.661064028739929
24,0.000936999975238,0.001878359355032,0.000985892838798,0.661907017230988
24,0.000944999977946,0.001761689432897,0.000943591934629,0.662760972976685
24,0.001200999948196,0.001691603334621,0.000830344797578,0.663883984088898
24,0.001144999987446,0.001623277901672,0.000742328062188,0.664892017841339
24,0.000883999979123,0.001530868117698,0.000718463095836,0.665714025497437
24,0.000980000011623,0.00146200961899,0.000659349723719,0.666566014289856
24,0.00139200000558,0.001453258446418,0.000509826873895,0.667473018169403
24,0.000895000004675,0.001383476075716,0.000504489173181,0.6682990193367
24,0.001694999984466,0.001422416651621,0.000446512742201,0.669951021671295
24,0.001215000054799,0.001396489562467,0.000380256940844,0.671036005020142
25,0.030874999240041,0.005081303417683,0.006733616814017,0.701187014579773
25,0.002026000060141,0.004699390381575,0.005718560423702,0.703073024749756
25,0.001918000052683,0.0043517164886,0.004897349514067,0.704828023910522
25,0.001964000053704,0.004053251817822,0.00419532507658,0.706520974636078
25,0.003077999921516,0.003931345418096,0.003359830239788,0.70857697725296
25,0.002270000055432,0.003723677247763,0.002883292036131,0.710379004478455
25,0.001902000047266,0.003495967714116,0.002560960827395,0.712146997451782
25,0.00195199996233,0.003302971599624,0.00225846352987,0.713994026184082
25,0.001230000052601,0.00304385018535,0.00214731018059,0.71501100063324
25,0.001112999976613,0.002802493982017,0.002032856224105,0.716036021709442
25,0.001264999969862,0.002610307186842,0.001860968885012,0.717226982116699
25,0.000996000017039,0.002408518921584,0.001748856389895,0.718137979507446
25,0.000974000024144,0.002229203935713,0.001625443343073,0.71900600194931
25,0.000874000019394,0.00205980357714,0.00151553330943,0.719823002815247
25,0.000939999998081,0.001919828006066,0.001381607027724,0.720704972743988
25,0.000880000006873,0.001789849484339,0.001263667596504,0.721525013446808
25,0.000875999976415,0.001675618346781,0.001147655304521,0.722339987754822
25,0.001062000053935,0.001598916016519,0.000994970556349,0.723330020904541
25,0.001087000011466,0.001534926588647,0.000858209503349,0.724345028400421
25,0.000891999981832,0.001454560668208,0.000784297299106,0.725175976753235
25,0.000875999976415,0.001382240676321,0.000714783149306,0.725991010665894
25,0.000874000019394,0.001318710506894,0.000647264998406,0.726787984371185
25,0.00094200001331,0.001271621789783,0.000567854207475,0.727671980857849
25,0.001334000029601,0.001279419055209,0.000439535884652,0.728981018066406
25,0.001564000034705,0.001314991619438,0.000391904002754,0.730395019054413
26,0.024283999577165,0.004186117555946,0.005318398587406,0.756308019161224
26,0.001954999985173,0.003907227888703,0.004476855974644,0.758132994174957
26,0.001759000006132,0.003638699417934,0.003827566746622,0.759769976139069
26,0.001898000016809,0.003421111963689,0.003251453163102,0.761546015739441
26,0.001854000031017,0.00322522292845,0.002781395567581,0.763273000717163
26,0.001959000015631,0.003066945122555,0.002363032894209,0.765093982219696
26,0.001848999992944,0.002914702054113,0.00203870027326,0.766807019710541
26,0.001720999949612,0.002765489276499,0.001790147507563,0.768366992473602
26,0.001626000041142,0.002623053034768,0.001591873937286,0.76985102891922
26,0.001472000032663,0.002479171380401,0.001445698319003,0.770941019058228
26,0.0011269999668,0.002310150070116,0.001380061265081,0.77197802066803
26,0.001077999942936,0.002156131202355,0.001304578734562,0.772976994514465
26,0.000905999972019,0.001999864820391,0.001251900219359,0.773809015750885
26,0.000903000007384,0.001862756791525,0.001178864389658,0.774643003940582
26,0.001173999975435,0.001776662189513,0.001034813816659,0.775748014450073
26,0.00092299998505,0.001669954392128,0.000962848949712,0.776596009731293
26,0.000910000002477,0.001574960071594,0.000888376729563,0.777436017990112
26,0.000925000000279,0.001493715099059,0.000808461336419,0.778293013572693
26,0.000903000007384,0.001419875654392,0.000735564914066,0.77913498878479
26,0.001381000038236,0.001415016246028,0.000560177781153,0.780421018600464
26,0.001978999935091,0.001485514221713,0.000543504778761,0.782314002513886
